ID,"CubeId;""rendopar"""
1,"PublishingDate;""2018-04-03 14:30"""
2,
3,"Date;""d0"";""Value"""
275,"1988-03-07;""b1"";""-3.741"""
276,"1988-03-07;""b2"";""-1.507"""
277,"1988-03-07;""b3"";""3.612"""
278,"1988-03-07;""t1"";""0.983"""
279,"1988-03-07;""t2"";""0.427"""
280,"1988-03-08;""b0"";"
281,"1988-03-08;""b1"";"
282,"1988-03-08;""b2"";"
283,"1988-03-08;""b3"";"
284,"1988-03-08;""t1"";"
285,"1988-03-08;""t2"";"
286,"1988-03-09;""b0"";"
287,"1988-03-09;""b1"";"
288,"1988-03-09;""b2"";"
289,"1988-03-09;""b3"";"
290,"1988-03-09;""t1"";"
291,"1988-03-09;""t2"";"
292,"1988-03-10;""b0"";"
293,"1988-03-10;""b1"";"
294,"1988-03-10;""b2"";"
295,"1988-03-10;""b3"";"
296,"1988-03-10;""t1"";"
297,"1988-03-10;""t2"";"
298,"1988-03-11;""b0"";"
299,"1988-03-11;""b1"";"
300,"1988-03-11;""b2"";"
301,"1988-03-11;""b3"";"
302,"1988-03-11;""t1"";"
303,"1988-03-11;""t2"";"
304,"1988-03-14;""b0"";""4.36"""
305,"1988-03-14;""b1"";""-3.303"""
306,"1988-03-14;""b2"";""-2.994"""
307,"1988-03-14;""b3"";""3.46"""
308,"1988-03-14;""t1"";""0.838"""
309,"1988-03-14;""t2"";""0.499"""
310,"1988-03-15;""b0"";"
311,"1988-03-15;""b1"";"
312,"1988-03-15;""b2"";"
313,"1988-03-15;""b3"";"
314,"1988-03-15;""t1"";"
315,"1988-03-15;""t2"";"
316,"1988-03-16;""b0"";"
317,"1988-03-16;""b1"";"
318,"1988-03-16;""b2"";"
319,"1988-03-16;""b3"";"
320,"1988-03-16;""t1"";"
321,"1988-03-16;""t2"";"
322,"1988-03-17;""b0"";"
323,"1988-03-17;""b1"";"
324,"1988-03-17;""b2"";"
325,"1988-03-17;""b3"";"
326,"1988-03-17;""t1"";"
327,"1988-03-17;""t2"";"
328,"1988-03-18;""b0"";"
329,"1988-03-18;""b1"";"
330,"1988-03-18;""b2"";"
331,"1988-03-18;""b3"";"
332,"1988-03-18;""t1"";"
333,"1988-03-18;""t2"";"
334,"1988-03-21;""b0"";""4.43"""
335,"1988-03-21;""b1"";""-4.056"""
336,"1988-03-21;""b2"";""-1.714"""
337,"1988-03-21;""b3"";""4.012"""
338,"1988-03-21;""t1"";""0.96"""
339,"1988-03-21;""t2"";""0.377"""
340,"1988-03-22;""b0"";"
341,"1988-03-22;""b1"";"
342,"1988-03-22;""b2"";"
343,"1988-03-22;""b3"";"
344,"1988-03-22;""t1"";"
345,"1988-03-22;""t2"";"
346,"1988-03-23;""b0"";"
347,"1988-03-23;""b1"";"
348,"1988-03-23;""b2"";"
349,"1988-03-23;""b3"";"
350,"1988-03-23;""t1"";"
351,"1988-03-23;""t2"";"
352,"1988-03-24;""b0"";"
353,"1988-03-24;""b1"";"
354,"1988-03-24;""b2"";"
355,"1988-03-24;""b3"";"
356,"1988-03-24;""t1"";"
357,"1988-03-24;""t2"";"
358,"1988-03-25;""b0"";"
359,"1988-03-25;""b1"";"
360,"1988-03-25;""b2"";"
361,"1988-03-25;""b3"";"
362,"1988-03-25;""t1"";"
363,"1988-03-25;""t2"";"
364,"1988-03-28;""b0"";""4.373"""
365,"1988-03-28;""b1"";""-3.626"""
366,"1988-03-28;""b2"";""-1.277"""
367,"1988-03-28;""b3"";""2.223"""
368,"1988-03-28;""t1"";""0.823"""
369,"1988-03-28;""t2"";""0.337"""
370,"1988-03-29;""b0"";"
371,"1988-03-29;""b1"";"
372,"1988-03-29;""b2"";"
373,"1988-03-29;""b3"";"
374,"1988-03-29;""t1"";"
375,"1988-03-29;""t2"";"
376,"1988-03-30;""b0"";"
377,"1988-03-30;""b1"";"
378,"1988-03-30;""b2"";"
379,"1988-03-30;""b3"";"
380,"1988-03-30;""t1"";"
381,"1988-03-30;""t2"";"
382,"1988-03-31;""b0"";""4.999"""
383,"1988-03-31;""b1"";""-3.633"""
384,"1988-03-31;""b2"";""-0.823"""
385,"1988-03-31;""b3"";""-2.549"""
386,"1988-03-31;""t1"";""0.728"""
387,"1988-03-31;""t2"";""6.435"""
388,"1988-04-01;""b0"";"
389,"1988-04-01;""b1"";"
390,"1988-04-01;""b2"";"
391,"1988-04-01;""b3"";"
392,"1988-04-01;""t1"";"
393,"1988-04-01;""t2"";"
394,"1988-04-04;""b0"";"
395,"1988-04-04;""b1"";"
396,"1988-04-04;""b2"";"
397,"1988-04-04;""b3"";"
398,"1988-04-04;""t1"";"
399,"1988-04-04;""t2"";"
400,"1988-04-05;""b0"";""4.248"""
401,"1988-04-05;""b1"";""-2.883"""
402,"1988-04-05;""b2"";""-1.452"""
403,"1988-04-05;""b3"";""4.091"""
404,"1988-04-05;""t1"";""2.068"""
405,"1988-04-05;""t2"";""1.418"""
406,"1988-04-06;""b0"";"
407,"1988-04-06;""b1"";"
408,"1988-04-06;""b2"";"
409,"1988-04-06;""b3"";"
410,"1988-04-06;""t1"";"
411,"1988-04-06;""t2"";"
412,"1988-04-07;""b0"";"
413,"1988-04-07;""b1"";"
414,"1988-04-07;""b2"";"
415,"1988-04-07;""b3"";"
416,"1988-04-07;""t1"";"
417,"1988-04-07;""t2"";"
418,"1988-04-08;""b0"";"
419,"1988-04-08;""b1"";"
420,"1988-04-08;""b2"";"
421,"1988-04-08;""b3"";"
422,"1988-04-08;""t1"";"
423,"1988-04-08;""t2"";"
424,"1988-04-11;""b0"";""4.214"""
425,"1988-04-11;""b1"";""-2.479"""
426,"1988-04-11;""b2"";""-2.448"""
427,"1988-04-11;""b3"";""-0.272"""
428,"1988-04-11;""t1"";""0.38"""
429,"1988-04-11;""t2"";""1.674"""
430,"1988-04-12;""b0"";"
431,"1988-04-12;""b1"";"
432,"1988-04-12;""b2"";"
433,"1988-04-12;""b3"";"
434,"1988-04-12;""t1"";"
435,"1988-04-12;""t2"";"
436,"1988-04-13;""b0"";"
437,"1988-04-13;""b1"";"
438,"1988-04-13;""b2"";"
439,"1988-04-13;""b3"";"
440,"1988-04-13;""t1"";"
441,"1988-04-13;""t2"";"
442,"1988-04-14;""b0"";"
443,"1988-04-14;""b1"";"
444,"1988-04-14;""b2"";"
445,"1988-04-14;""b3"";"
446,"1988-04-14;""t1"";"
447,"1988-04-14;""t2"";"
448,"1988-04-15;""b0"";"
449,"1988-04-15;""b1"";"
450,"1988-04-15;""b2"";"
451,"1988-04-15;""b3"";"
452,"1988-04-15;""t1"";"
453,"1988-04-15;""t2"";"
454,"1988-04-18;""b0"";""4.213"""
455,"1988-04-18;""b1"";""-3.156"""
456,"1988-04-18;""b2"";""-0.51"""
457,"1988-04-18;""b3"";""1.49"""
458,"1988-04-18;""t1"";""0.94"""
459,"1988-04-18;""t2"";""0.405"""
460,"1988-04-19;""b0"";"
461,"1988-04-19;""b1"";"
462,"1988-04-19;""b2"";"
463,"1988-04-19;""b3"";"
464,"1988-04-19;""t1"";"
465,"1988-04-19;""t2"";"
