"","1M","2M","3M","6M","9M","1Y","2Y","3Y","4Y","5Y","6Y","7Y","8Y","9Y","10Y","11Y","12Y","13Y","14Y","15Y","16Y","17Y","18Y","19Y","20Y"
"213",0.00727348396649847,0.00747201483870106,0.00757126549631813,0.00796816964917688,0.00846407841212936,0.00905884448834615,0.011248949984767,0.0132484738040176,0.0150587673077311,0.0165770788568679,0.0177474058589135,0.0189306253057491,0.0198613968565952,0.0208042647950105,0.0217601540082343,0.0224499787217118,0.0231506909304072,0.0236116709294737,0.0240810695390194,0.0245589128773734,0.0248341297197683,0.0251155790605583,0.0254030811158279,0.0256965533748969,0.0259959911544121
"214",0.00747201483870106,0.00767050630421974,0.00796816964917688,0.00876150566857267,0.00965325702813835,0.0106431600984798,0.0132294387203648,0.0152276818716516,0.016632851622765,0.0178457332306863,0.0188114694268137,0.0197879062950296,0.0205092836304091,0.0212399599969669,0.0219803095802556,0.0225634353328708,0.0231552389367709,0.0235830293707557,0.0240180191962714,0.0244602844516926,0.0247402238692316,0.0250257930662611,0.0253169096925053,0.0256135679143318,0.0259158241320992
"215",0.00747201483870106,0.00836491633162767,0.00866237307865259,0.0100493358530014,0.0113355096637457,0.0126200313561022,0.0164956911088922,0.0185903111278104,0.0198922021042536,0.0209001897003905,0.0217119987059767,0.0225342091688309,0.0231526113053168,0.0237798338904417,0.0244160026074895,0.024948924599221,0.0254901942329057,0.0258847257818832,0.0262862916775412,0.0266949447347743,0.0269551796467352,0.0272209911309369,0.0274922910813986,0.0277690666970112,0.0280513662979369
"216",0.00925702126267685,0.0098513160503742,0.0103462920541443,0.0123237496888319,0.0139029051689914,0.0148886124937506,0.01766798749954,0.019363105976057,0.0206678080377064,0.0215750505493675,0.0222848836039864,0.0230038855564817,0.0235891684854805,0.0241825657267725,0.0247842394472044,0.0252069863484776,0.0256366244659071,0.025956917031496,0.0262830232224039,0.0266148855939249,0.0268546446971019,0.0270992366010753,0.0273485999884902,0.027602734490827,0.0278616892214352
"217",0.00886062843219647,0.00925702126267685,0.0100493358530014,0.0117309228756987,0.0130149370774948,0.0140015196358136,0.0172786650255338,0.0191734323701034,0.0204767452116579,0.0213830363521448,0.0220401172833368,0.0227060337537895,0.0231843237938925,0.0236696126275215,0.0241617585163575,0.0244741938070052,0.0247919742706904,0.0250380128544202,0.025288517361444,0.0255433543074584,0.0256896111254258,0.0258392224869695,0.0259920211773737,0.026147895390876,0.0263067761570198
"218",0.0089597413714718,0.00965325702813835,0.0103462920541443,0.0119285708652738,0.0132123314721349,0.0142973047008244,0.0177725627531345,0.0198672955514355,0.0212710904989235,0.0222791501926856,0.0230391834423609,0.023809757953496,0.0243220985781389,0.0248425693234954,0.0253709719149621,0.0256819865362215,0.0259989592216326,0.0262441471345451,0.0264942465352488,0.0267490738479174,0.0268946325170673,0.0270438484471897,0.0271965262856233,0.0273525334531402,0.0275117858486486
"219",0.0102473164515495,0.011137744410456,0.0117309228756987,0.0133110140596724,0.0147900854726353,0.0157749191153622,0.0190491909799253,0.0208427328239377,0.0219432777402326,0.0228511256636965,0.0235094701953355,0.0241769343498658,0.0246921901878069,0.0252150775614272,0.0257455778990359,0.0260582895409602,0.0263767908652126,0.0266620736401862,0.0269525131468184,0.0272480475731974,0.0274179679327985,0.0275918300648149,0.0277694790089014,0.0279508204418566,0.0281358074481843
"220",0.0114343776256632,0.0119285708652738,0.0125212805536717,0.0140015196358136,0.0155780299633185,0.0168571170664228,0.0207246665451362,0.0228167235460164,0.0242197533838548,0.0254344696410378,0.02624613090298,0.0270707330853401,0.0276549274870829,0.0282494570015343,0.0288541965746117,0.0292782873071722,0.0297107876025794,0.0300326574335949,0.0303615778759306,0.030697430481136,0.0308386008071373,0.0309846983889255,0.0311353940218585,0.0312904547767575,0.0314497217856424
"221",0.0125212805536717,0.0128175037106143,0.0133110140596724,0.0149871298082482,0.0166604408931072,0.017839918128331,0.0220029651272139,0.0242941637570543,0.0257974522234144,0.027011219569384,0.0278748205646842,0.0287530123972672,0.0294093369196421,0.0300777641267815,0.0307583265327048,0.0312969905857036,0.031846514015483,0.0322059102135274,0.0325739896395364,0.0329506260500175,0.033164516852345,0.0333849730773184,0.0336117495414026,0.0338447084146313,0.0340837969938613
"222",0.0131136391453832,0.0138042809763971,0.0143958802837323,0.0159717695096987,0.0174469136037207,0.0186254641231648,0.0226878113242662,0.0246777108183767,0.0260807637991197,0.027192809394571,0.0280058495995879,0.0288324203913943,0.0294180529719767,0.0300145736889647,0.0306218628835261,0.0310476259517547,0.0314822984275357,0.0318457136090669,0.032217074408398,0.032596382564231,0.0328131632143877,0.033036060796702,0.0332648936819159,0.0334995732816688,0.0337400853012092
"223",0.0141001243787816,0.0144944461504525,0.015085637418041,0.0167587838149546,0.0182327682610597,0.019508466388043,0.023271915425102,0.0254631343488856,0.0268656081410319,0.0280811239376048,0.0289461098997031,0.0298259318704635,0.0304471262446926,0.031080310113804,0.0317253966553721,0.0320923318605745,0.0324681811547124,0.0327520139757085,0.0330431896877201,0.0333414604848393,0.0334841800407793,0.0336321730125963,0.0337851099452512,0.0339427619234564,0.0341049776685197
"224",0.0141001243787816,0.0146915487429897,0.0153811020383024,0.0171520588175657,0.0184291354683671,0.019508466388043,0.0230738305463637,0.025065049292774,0.0264689308458696,0.0274781404846464,0.0282924452567058,0.0291200773915671,0.0296702056010593,0.0302307935546371,0.0308016265028348,0.0311711049294152,0.0315487086436248,0.0318342465780226,0.0321265730286373,0.0324255113910497,0.0325442415626769,0.0326676929706404,0.0327955174928081,0.0329274634714861,0.0330633531360256
"225",0.0153811020383024,0.0161685811615837,0.0166604408931072,0.0180363624860986,0.0192142189238044,0.0200967016991224,0.0223738772127799,0.0237677491533411,0.0247700157046345,0.0255782751542212,0.0261877890522298,0.0268061525621733,0.0272171139302393,0.0276350075107794,0.0280596017057579,0.0284340391337168,0.0288147167426814,0.0290249278163729,0.0292398821606228,0.0294593654875711,0.0295591362066769,0.0296622778115568,0.0297685394925712,0.0298777379507224,0.0299897413890753
"226",0.0171520588175657,0.0173486383346131,0.0180363624860986,0.019018005835762,0.0199006617063362,0.0206845911928326,0.0227631431270961,0.0237566730290555,0.0244567014066676,0.0250623320161771,0.0255710525874114,0.0260864563211332,0.0264290540496812,0.0267770022911461,0.0271301214279476,0.0273377990760121,0.0275494836021647,0.027726108443175,0.0279061304643316,0.0280894261731524,0.0281942653928114,0.0283016934964198,0.0284115718215348,0.028523804473836,0.0286383284199083
"227",0.0171520588175657,0.017938145131013,0.0184291354683671,0.0194103935198234,0.0202927032677624,0.0210763256019163,0.0225607080815388,0.0235563331492434,0.0242574286212533,0.0247607886938673,0.0252706001864232,0.0257866785119544,0.0260940059151691,0.0264062121178209,0.0267230682903031,0.0269318374333056,0.0271443462014741,0.0272829435548643,0.0274245056867673,0.0275688562955853,0.027650888184448,0.0277351143984693,0.0278213893526819,0.027909607447644,0.0279996935650247
"228",0.0188217542405877,0.0191161171922301,0.0194103935198234,0.0204886664273156,0.0212721352755398,0.0219571673520421,0.0233419867855835,0.0237369474822435,0.0240358289594207,0.0243384543863155,0.0246964915346682,0.0250581832264287,0.0253701467506282,0.0256857715281473,0.0260051611841114,0.0262162611734241,0.0264305624246755,0.0265708905649255,0.0267138267222938,0.0268592533457104,0.0268940607505852,0.0269306215604136,0.0269687415758596,0.0270082708295767,0.0270490926660335
"229",0.0202927032677624,0.0204886664273156,0.0207825391825284,0.0217614917815127,0.0226417304808246,0.023618865598634,0.0259909259422381,0.0263811547586985,0.026576283912376,0.0266728219246925,0.0268763512320476,0.0270824218408643,0.0272551255013495,0.0274300937030921,0.0276072921939894,0.0278242845445222,0.0280438251661682,0.0281884010354802,0.0283352236133382,0.0284842775164995,0.0284969382149648,0.0285110661228762,0.0285264677296277,0.0285429918687362,0.028560519189133
